	X	TE.fixed	lower.fixed	upper.fixed	pval.fixed	TE.random	lower.random	upper.random	pval.random	symbol.x	idx	beta	pval	cilb	ciub	i2	tau2	symbol.y
1	ENSG00000005812.9	0.882189604293174	0.819165331292317	0.950062787319337	0.000917902725856205	0.900759771115025	0.782161258041436	1.03734128597841	0.146779586263592	FBXL3	11935	-0.61419718642902	3.0600335393459e-18	-0.752419199811243	-0.475975173046797	96.3265623421329	0.105377790749379	FBXL3
2	ENSG00000008952.15	1.07911506321339	0.994532768941352	1.17089085047806	0.0675010364791787	1.08212687627729	0.952446918325815	1.22946334733278	0.225554688150828	SEC62	26543	-0.409580353952907	4.41759959522602e-10	-0.538258966975783	-0.280901740930032	96.2895446987114	0.089111454373981	SEC62
3	ENSG00000009307.14	1.08703532032824	0.990445267949903	1.19304501306466	0.078790044880858	1.12059977432156	0.947611914239258	1.3251668065166	0.183198884843089	CSDE1	32289	-0.399646773735183	7.9126964885835e-16	-0.496883336931726	-0.302410210538639	94.6581291165642	0.0464605121499761	CSDE1
4	ENSG00000014123.9	0.995603199155223	0.924681133518576	1.071964912268	0.906964152650343	0.995603199155223	0.924681133518576	1.071964912268	0.906964152650343	UFL1	35168	-0.319310559644277	3.39883292655576e-09	-0.425185929458657	-0.213435189829897	93.1422739142424	0.0543617289429685	UFL1
5	ENSG00000019995.6	0.989816803541362	0.931476090437187	1.05181154366829	0.741229227968075	1.01340983810234	0.926463914056797	1.10851538239151	0.771007221141262	ZRANB1	40265	-0.59310652250535	2.66011373602905e-12	-0.759301436996367	-0.426911608014334	96.3710873537613	0.145858520169183	ZRANB1
6	ENSG00000055211.11	1.09066841022937	0.999509168085791	1.190141740621	0.0513026686523337	1.04346674052207	0.889461565722198	1.22413702911567	0.601510024146041	GINM1	37261	-0.533739854114767	1.52310601739563e-09	-0.706882578618009	-0.360597129611524	98.105977504069	0.165421468743345	GINM1
7	ENSG00000072364.11	1.0241721115203	0.955629747560004	1.09763066364789	0.49916097015068	1.05502565513878	0.937250386225475	1.18760061277076	0.375117386790581	AFF4	20666	-0.346649946546689	1.85862311087123e-10	-0.453266159595632	-0.240033733497746	89.0683442240943	0.0544340432958875	AFF4
8	ENSG00000104695.11	0.95535932460662	0.882918574260187	1.03374361546034	0.256336832031025	0.932024929786184	0.817805259104682	1.06219721635679	0.291259884088649	PPP2CB	58362	-0.526758257492463	1.70134472039661e-11	-0.68017417864827	-0.373342336336657	97.7375728198385	0.130284182461133	PPP2CB
9	ENSG00000106993.10	0.837147867080071	0.777015283779331	0.901934062285114	2.95595649175456e-06	0.821934133267807	0.743171382530796	0.909044313749131	0.000135961055870176	CDC37L1	44711	-0.594044149602165	7.33470825126246e-09	-0.795373895253777	-0.392714403950552	98.4189724825997	0.232917065236028	CDC37L1
10	ENSG00000107854.5	0.933412008685408	0.861376728986817	1.01147146032484	0.0926438579736379	0.938456751239964	0.843951168032461	1.04354506197448	0.240836388035618	TNKS2	47806	-0.226754560977332	6.38665802795235e-12	-0.291439052119395	-0.16207006983527	82.0413237497685	0.016798544126079	TNKS2
